epoch,TF_output_loss,dist_output_loss,loss,val_TF_output_loss,val_dist_output_loss,val_loss
0,5344.05078125,13.577024459838867,5357.6220703125,4479.205078125,10.705883026123047,4489.912109375
1,4317.419921875,10.637211799621582,4328.05517578125,4211.8203125,10.618066787719727,4222.435546875
2,4110.09130859375,10.493005752563477,4120.58447265625,4034.849365234375,10.477692604064941,4045.32763671875
3,3990.485107421875,10.322348594665527,4000.80859375,3934.59716796875,10.28083610534668,3944.8779296875
4,3918.21533203125,10.228510856628418,3928.44140625,3911.11572265625,10.20838451385498,3921.32373046875
5,3868.275390625,10.163179397583008,3878.439208984375,3842.380615234375,10.165665626525879,3852.548828125
6,3831.224365234375,10.105271339416504,3841.33056640625,3817.482177734375,10.055822372436523,3827.537841796875
7,3801.396240234375,10.05489444732666,3811.452392578125,3781.101318359375,10.057981491088867,3791.159912109375
8,3776.2958984375,10.015339851379395,3786.3125,3774.77587890625,10.008898735046387,3784.784423828125
9,3755.58984375,9.97822093963623,3765.57080078125,3749.806640625,9.934881210327148,3759.742919921875
10,3737.659423828125,9.944937705993652,3747.6025390625,3720.135498046875,9.92662525177002,3730.061279296875
11,3722.2109375,9.91878604888916,3732.128173828125,3710.74072265625,9.907326698303223,3720.64794921875
12,3707.995361328125,9.894742965698242,3717.888671875,3700.86474609375,9.878409385681152,3710.740478515625
13,3696.01416015625,9.870808601379395,3705.8828125,3676.2431640625,9.893704414367676,3686.136962890625
14,3682.7509765625,9.856144905090332,3692.60888671875,3704.423095703125,9.838953018188477,3714.261962890625
15,3672.765380859375,9.84013557434082,3682.60400390625,3680.636474609375,9.86871337890625,3690.50537109375
16,3660.79931640625,9.828922271728516,3670.632568359375,3668.9296875,9.875510215759277,3678.804931640625
17,3651.197021484375,9.813066482543945,3661.005615234375,3673.139892578125,9.867924690246582,3683.008544921875
18,3641.900634765625,9.802360534667969,3651.7060546875,3641.943603515625,9.802733421325684,3651.74755859375
19,3633.953125,9.79179573059082,3643.7451171875,3626.392822265625,9.816699981689453,3636.2080078125
20,3626.82958984375,9.782774925231934,3636.612060546875,3654.367431640625,9.800090789794922,3664.1689453125
21,3618.920166015625,9.770608901977539,3628.689208984375,3609.968994140625,9.747906684875488,3619.717529296875
22,3612.903564453125,9.76347541809082,3622.669677734375,3606.0751953125,9.770746231079102,3615.845458984375
23,3606.716552734375,9.751213073730469,3616.4677734375,3604.77880859375,9.828339576721191,3614.606201171875
24,3602.66650390625,9.747246742248535,3612.412841796875,3596.2958984375,9.796880722045898,3606.091796875
25,3596.615966796875,9.736534118652344,3606.3515625,3590.139404296875,9.777716636657715,3599.91748046875
26,3591.96044921875,9.728546142578125,3601.687255859375,3605.51318359375,9.736640930175781,3615.250732421875
27,3587.33447265625,9.723872184753418,3597.061279296875,3586.420654296875,9.734180450439453,3596.1572265625
28,3582.415283203125,9.716866493225098,3592.1328125,3593.201416015625,9.738224983215332,3602.93896484375
29,3578.640625,9.710494995117188,3588.348876953125,3582.11572265625,9.676647186279297,3591.793701171875
30,3574.603515625,9.703596115112305,3584.306396484375,3578.09521484375,9.713465690612793,3587.807373046875
31,3570.90771484375,9.696773529052734,3580.605224609375,3592.975341796875,9.69520092010498,3602.671875
32,3566.728759765625,9.69234848022461,3576.4169921875,3580.2666015625,9.731546401977539,3589.9970703125
33,3563.45263671875,9.689416885375977,3573.143310546875,3576.7724609375,9.714869499206543,3586.486572265625
34,3560.125,9.680448532104492,3569.803955078125,3563.38037109375,9.683412551879883,3573.063232421875
35,3557.788330078125,9.675201416015625,3567.466796875,3562.91552734375,9.693175315856934,3572.611572265625
36,3555.244384765625,9.671828269958496,3564.916015625,3607.399658203125,9.68969440460205,3617.089111328125
37,3551.87060546875,9.664896965026855,3561.539306640625,3549.69140625,9.67444896697998,3559.36572265625
38,3550.031494140625,9.660545349121094,3559.696533203125,3556.04833984375,9.686874389648438,3565.734619140625
39,3546.609375,9.652844429016113,3556.256591796875,3567.013916015625,9.67330265045166,3576.687744140625
40,3544.2216796875,9.649917602539062,3553.87744140625,3552.503662109375,9.661822319030762,3562.16748046875
41,3542.12548828125,9.644730567932129,3551.7666015625,3557.01416015625,9.637107849121094,3566.65087890625
42,3540.19140625,9.639307022094727,3549.83056640625,3545.462646484375,9.651256561279297,3555.11376953125
43,3537.729248046875,9.635578155517578,3547.3642578125,3537.238037109375,9.698954582214355,3546.936279296875
44,3535.769775390625,9.628024101257324,3545.397216796875,3545.205078125,9.638578414916992,3554.845703125
45,3534.044677734375,9.621980667114258,3543.670166015625,3540.228759765625,9.639788627624512,3549.870361328125
46,3531.826416015625,9.617053031921387,3541.4423828125,3534.10595703125,9.637715339660645,3543.743896484375
47,3529.5654296875,9.610876083374023,3539.178955078125,3551.610107421875,9.652154922485352,3561.2646484375
48,3528.1904296875,9.604804039001465,3537.796630859375,3528.555908203125,9.645368576049805,3538.198486328125
49,3525.3759765625,9.599000930786133,3534.97314453125,3539.8310546875,9.625105857849121,3549.455322265625
50,3524.447509765625,9.592602729797363,3534.04296875,3539.739501953125,9.613940238952637,3549.35400390625
51,3522.05322265625,9.588881492614746,3531.644775390625,3521.709716796875,9.669795989990234,3531.380859375
52,3521.9052734375,9.587407112121582,3531.495361328125,3537.4208984375,9.631599426269531,3547.052734375
53,3518.8505859375,9.583040237426758,3528.431884765625,3565.4287109375,9.62526798248291,3575.052001953125
54,3518.239013671875,9.574663162231445,3527.814697265625,3525.276123046875,9.649835586547852,3534.924560546875
