epoch,TF_output_loss,dist_output_loss,loss,val_TF_output_loss,val_dist_output_loss,val_loss
0,5348.25390625,13.105956077575684,5361.35302734375,4446.91552734375,10.67718505859375,4457.59130859375
1,4287.80419921875,10.626971244812012,4298.43603515625,4170.205078125,10.595187187194824,4180.7978515625
2,4085.290283203125,10.507648468017578,4095.798828125,4026.2529296875,10.405644416809082,4036.658203125
3,3959.3076171875,10.303930282592773,3969.613525390625,3922.122802734375,10.254064559936523,3932.375
4,3883.266845703125,10.191766738891602,3893.457275390625,3863.6279296875,10.245734214782715,3873.8740234375
5,3828.628173828125,10.11823844909668,3838.743896484375,3808.73388671875,10.195394515991211,3818.928466796875
6,3786.869384765625,10.060126304626465,3796.927734375,3762.190185546875,10.102810859680176,3772.292724609375
7,3754.872802734375,10.016508102416992,3764.8876953125,3754.986328125,10.084614753723145,3765.072021484375
8,3728.65576171875,9.980307579040527,3738.63330078125,3755.609619140625,9.982962608337402,3765.59130859375
9,3705.992919921875,9.952560424804688,3715.9453125,3691.66357421875,9.979962348937988,3701.643310546875
10,3686.367431640625,9.933809280395508,3696.30078125,3699.622314453125,9.936422348022461,3709.558349609375
11,3670.26025390625,9.91783332824707,3680.177490234375,3655.97509765625,9.922098159790039,3665.89501953125
12,3655.01025390625,9.904500007629395,3664.912109375,3657.266357421875,9.961163520812988,3667.2275390625
13,3641.998291015625,9.892265319824219,3651.88720703125,3646.2529296875,9.910255432128906,3656.162353515625
14,3630.40869140625,9.881098747253418,3640.2900390625,3634.038818359375,9.916982650756836,3643.956298828125
15,3620.458984375,9.871410369873047,3630.329833984375,3618.823974609375,9.906803131103516,3628.730224609375
16,3609.6298828125,9.859319686889648,3619.492431640625,3609.968017578125,9.914066314697266,3619.881591796875
17,3598.6845703125,9.851358413696289,3608.538330078125,3589.209228515625,9.879900932312012,3599.090087890625
18,3587.975341796875,9.840060234069824,3597.814453125,3582.22802734375,9.865816116333008,3592.09521484375
